,player_id,full_name,status,team,position
11373,11373,DJ Scaife,Active,,OL
939,939,Brandon Fusco,Inactive,,G
1732,1732,Willie Jefferson,Inactive,,OLB
6081,6081,Kendall Blanton,Active,,TE
1637,1637,Kevin McDermott,Inactive,,LS
2762,2762,Diaheem Watkins,Inactive,,ILB
13,13,Sam Koch,Active,,P
4053,4053,Garett Bolles,Active,DEN,OT
4634,4634,Kenneth Walker,Active,,WR
4479,4479,Thomas Sperbeck,Active,,WR
3081,3081,Doug Whaley,Inactive,,
2370,2370,D'Joun Smith,Inactive,,CB
3323,3323,Marqui Christian,Active,,DB
1464,1464,Eric Fisher,Inactive,,OT
7709,7709,Rashad Weaver,Active,LAR,LB
133,133,Greg Jones,Inactive,,RB
6974,6974,Javaris Davis,Active,,CB
1447,1447,Luke Joeckel,Inactive,,G
3318,3318,Kevin Hogan,Active,,QB
3346,3346,Josh Forrest,Inactive,,DE
3848,3848,Greg Townsend Jr,Inactive,,DE
1251,1251,Alameda Ta'amu,Inactive,,NT
3799,3799,David Glidden,Inactive,,WR
1856,1856,Jeremiah George,Injured Reserve,,LB
6005,6005,Kevin Givens,Inactive,SF,DT
7722,7722,Bobby Brown,Active,LAR,DT
5269,5269,Codey McElroy,Active,,TE
4817,4817,Jimmy Herman,Active,,OLB
2553,2553,Rory Anderson,Active,,TE
6331,6331,Koa Farmer,Active,,OLB
2167,2167,Ricardo Allen,Active,CIN,DB
8389,8389,Akayleb Evans,Active,CAR,DB
7974,7974,Nick McCloud,Active,SF,CB
4585,4585,Anthony Nash,Active,,WR
3815,3815,Bryson Keeton,Inactive,,CB
2270,2270,Justin Britt,Active,,OL
11229,11229,Calvin Tyler,Active,,RB
2941,2941,Milton Williams,Inactive,,WR
89,89,Chad Henne,Active,,QB
11076,11076,NaJee Thompson,Inactive,MIN,CB
8138,8138,James Cook,Active,BUF,RB
3679,3679,Mario Ojemudia,Inactive,,DE
3134,3134,Matt Nagy,Inactive,,
5665,5665,Darren Andrews,Inactive,,WR
2770,2770,Harold Spears,Inactive,,TE
11281,11281,Liam Anderson,Active,IND,LB
12081,12081,Dyshawn Gales,Active,,CB
2608,2608,Dylan Wynn,Inactive,,DE
5082,5082,Simeon Thomas,Inactive,,CB
1876,1876,Deji Olatoye,Inactive,,CB
8024,8024,Andre Mintze,Active,,LB
7723,7723,Elerson G. Smith,Active,CLE,LB
2092,2092,Akeem Davis,Inactive,,S
7159,7159,Reid Sinnett,Active,,QB
7108,7108,Hasise Dubois,Inactive,,WR
6000,6000,Ryan Bates,Inactive,CHI,OL
1013,1013,Doug Worthington,Inactive,,DT
364,364,Ryan Mundy,Inactive,,SS
9231,9231,Jaren Hall,Active,SEA,QB
5674,5674,Andre Chachere,Active,ARI,DB
12201,12201,Nick Torres,Active,,G
7262,7262,Jalen Morton,Active,IND,QB
4076,4076,Ryan Ramczyk,Active,NO,T
7293,7293,Luq Barcoo,Active,DAL,CB
8442,8442,Jarrett Guarantano,Active,,QB
11345,11345,Chris Smith,Active,DET,DL
2352,2352,Eric Rowe,Active,PIT,DB
6671,6671,Jerald Foster,Active,,G
8119,8119,Jahan Dotson,Active,PHI,WR
8194,8194,Jashaun Corbin,Inactive,,RB
3223,3223,Su'a Cravens,Inactive,,SS
5748,5748,DeMarquis Gates,Active,,ILB
2406,2406,Trey Flowers,Inactive,,LB
7863,7863,JaQuan Hardy,Active,,RB
11828,11828,Marcus Harris,Active,NE,DL
5231,5231,Cole Hunt,Active,,TE
2365,2365,Randy Gregory,Active,,DE
8476,8476,DaRon Bland,Active,DAL,DB
409,409,King Dunlap,Inactive,,T
